Name;Address;Phone number
IF - Kosmetiksalon Frauendorfer Irene;Am Schöpfwerk 29-31/5, 1120 Wien;+43 1 9958724
AktiVital Simmering - Kosmetik, Haarentfernung, Fußpflege, Maniküre, Massage & Salzgrotte;Simmeringer Hauptstraße 80-82, 1110 Wien;+43 660 8109161
BODYCARE SPEKTRUM;Schäffergasse 1, 1040 Wien;+43 1 5856935
Kosmetikstudio ORCHID Beauty;Neulerchenfelder Straße 4, 1160 Wien;+43 1 4062425
Prim. Dr. med. Dorota Steffanson;Spitalgasse 1A, 1090 Wien;+43 1 4063499
Kosmetikstudio Karin;Hietzinger Hauptstraße 36, 1130 Wien;+43 1 8778226
Svoboda Sieglinde GesmbH;Gruschaplatz 4, 1140 Wien;+43 1 9140926
Patricia M Haber;Wollzeile 32, 1010 Wien;+43 1 5124381
Kosmetik-Institut Ingrid Kalser & Melanie Jansohn;Wasagasse 26, 1090 Wien;+43 1 3198607
CHANNOINE COSMETIC - Renate Holzhammer - Visagist & Makeup-Artist;Maulbeergasse 9 B, 1220 Wien;+43 676 3701431
CHANNOINE COSMETIC - Renate Holzhammer - Visagist & Makeup-Artist;Wasagasse 6, 1090 Wien;+43 676 3701431
Maria Hadek;Krichbaumgasse 1/Ecke Albrechtsbergerg 26, 1120 Wien;+43 1 8153584
Kosmetik Marianne;Praterstraße 52/20, 1020 Wien;+43 1 2166284
TINESI OASE;Endresstraße 112, 1230 Wien;+43 1 8862208
HAARFREI Laser Care GmbH;Gymnasiumstraße 60, 1190 Wien;+43 1 3690493
Dipl-Kosm. Sonja Axmann;Bossigasse 31, 1130 Wien;+43 699 10257911
VIP Place of Beauty e.U.;Weyringergasse 32, 1040 Wien;+43 660 7222576
hands:up Institut für Hand und Nagelpflege;Nußdorfer Straße 9, 1090 Wien;+43 1 3193701
Beauty in the City GmbH;Singerstraße 27/44 DG, 1010 Wien;+43 1 2085849
Wellness City Lounge;Sechskrügelgasse 18, 1030 Wien;+43 171 45912
COSAMED - KOSMETIK STERBA;Kunerolgasse 5, 1230 Wien;+43 1 8049545
Cosmetik Donaustadt - Alexandra Zejda;Godlewskigasse 24/1-3, 1220 Wien;+43 1 2039888
Art of Cosmetic - R Pikal GesmbH;Wickenburggasse 2, 1080 Wien;+43 1 4064639
Beauty Fashion - Schönheits & Vitalcenter;Mariahilfer Straße 47/3/3008, 1060 Wien;+43 664 88621331
Beautique Kosmetiksalon Strzizek GesmbH;Rathstraße 14, 1190 Wien;+43 1 4401073
Dietmann Professional;Kalvarienberggasse 64, 1170 Wien;+43 1 4054725
Kosmetikinstitut Centella;Maroltingergasse 36, 1160 Wien;+43 660 8753394
Beautykosmetik Mauer Inh Marion Seitz;Maurer Lange Gasse 39, 1230 Wien;+43 1 8880222
Dietz Irene GmbH Kosmetik + Fusspflege;Jedleseer Straße 74, 1210 Wien;+43 1 2783929
Kosmetikinstitut Centella;Bernhardtstalgasse 38/Eingang Hardtmuthg., 1100 Wien;+43 676 5459050
Centella Sofri Spa Wien;Seilergasse 4/2, 1010 Wien;+43 1 4102584
Visage Academy - Microblading in Wien;Ottakringer Straße 142, 1160 Wien;+43 676 7444740
CELL Ganzheitskosmetikinstitut Sabine Schaffer;Mosergasse 9/2, 1090 Wien;+43 1 3108448
Salon Hofstädter - Wilma GesmbH;Geßlgasse 1a, 1230 Wien;0800 240431327
Ehrlich & Co GesmbH NfG e.U.;Marxergasse 9, 1030 Wien;+43 171 22254
Wagner Susanna - Kosmetik, Hand- u. Fußpflege, Microblading;Arnezhoferstraße 10, 1020 Wien;+43 1 7268442
SP Hair&Beauty Lounge e.U.;Otto-Bauer-Gasse 22, 1060 Wien;+43 1 9437384
ANDREA Helen Barwinek - reine NATURKOSMETIK;Sandleitengasse 9-13/11/12, 1160 Wien;+43 1 4863465
Haus der Schönheit Kosmetik- Hand- u. Fußpflege Aspern;Asperner Heldenplatz 5, 1220 Wien;+43 1 2870839
HBeautylines e.U.;Percostraße 15, 1220 Wien;+43 800 400171037
The Beauty Salon;Lobkowitzplatz 3, 1010 Wien;+43 1 5121316
Studio Brigitte Kosmetik & Nageldesign;Wagramer Straße 61/Stg.9/Tür1 - Eingang Donizettiweg, 1220 Wien;+43 699 12675027
NAILSPA Beauty & Home;Wulzendorfstraße 92-94/5/3, 1220 Wien;+43 1 2854500
Kosmetikinstitut Dohnal Petra;Liechtensteinstraße 75, 1090 Wien;+43 1 3171459
Ekosmetik;Beatrixgasse 3/13, 1030 Wien;+43 664 5852791
Deluxe Metics;Lange Gasse 50/Top 3, 1080 Wien;+43 699 10805002
Face & Body Cosmeticstudio - Inh Lukes Caroline Bianca;Alser Straße 23/8, 1080 Wien;+43 676 3119111
Avantgardekiss - Judit Nagy;Stadiong 2/Top 10 DG, 1010 Wien;+43 699 10805002
Wohlfühloase Carmen Nadina Banyasz;Breitenseer Straße 40, 1140 Wien;+43 1 9852577
Dr. Brows Vienna;Rotenturmstraße 12/Stiege 2/18, 1010 Wien;+43 660 9083434
Beauty Atelier Meggi Haas;Herrengasse 5/2, Top 1, 1010 Wien;+43 699 19661127
Hartner Kosmetik + Fußpflegesalon Brigitte;Jörgerstraße 20, 1170 Wien;+43 1 4026872
Beauty-Center Riebenbauer;Breitenfurter Straße 360-368, 1230 Wien;+43 1 8690437
Permanentbeauty OG;Landstraßer Hauptstraße 117, 1030 Wien;+43 171 07340
STYLELINE BY MM;Albertgasse 57, 1080 Wien;+43 660 5269262
Bacher Tometschek OG;Mariahilfer Straße 184, 1150 Wien;+43 699 12624004
Pia Kosmetik;Seidlgasse 41, 1030 Wien;+43 1 7101100
Miracle Beauty Spa - Zaczynska Joanna;Himmelpfortgasse 20, 1010 Wien;+43 1 5122245
HAARFREI Laser Care GmbH;Taborstraße 52B/1, 1020 Wien;+43 1 2125838
SABCOS;Hainburger Straße 38, 1030 Wien;+43 1 7180339
La Belezza Fußpflege, Massage & Kosmetik Lingens KG;Münichreiterstraße 53/5, 1130 Wien;+43 1 8795008
Elena Berger Kosmetiksalon;Weihburggasse 18-20/21, 1010 Wien;+43 699 11419893
Darphin Cosmetic;Neutorgasse 12, 1010 Wien;+43 1 5321003
time of ease;Bauernmarkt 19, 1010 Wien;0800 400171568
Kosmetik & Fußpflege Hildegard Maurer;Hetzendorfer Straße 97/Lokal 1, 1120 Wien;+43 1 8021536
Beauté chez "Vally" Kosmetikinstitut;Margaretenstraße 6, 1040 Wien;+43 1 5868772
Fußpflegesalon Margit;Schwendergasse 1A, 1150 Wien;+43 1 8920359
Dani Kosmetik;Mozartgasse 7, 1040 Wien;+43 1 5054410
Grahsner Bettina Dipl. Kinesiologie und Cranio Sacrale Therapie;Hietzinger Hauptstraße 93/Stiege 2, 1130 Wien;+43 664 1816137
Januschek Beate;Pilgramgasse 5, 1050 Wien;+43 1 5446358
Kosmetik Fußpflege;Kinzerplatz 1, 1210 Wien;+43 1 2716266
Kosmetik & Fusspflege Inh. Marta Hans;Hoffingergasse 30/1/5, 1120 Wien;+43 660 7218526
Parfumerie Kosmetiksalon HUBER;Simmeringer Hauptstraße 183, 1110 Wien;+43 1 7675111
Kosmetiksalon Wurzer;Laaer-Berg-Straße 34/3, 1100 Wien;+43 699 10507000
Petra Felber - Kosmetikinstitut;Lustkandlgasse 12/3, 1090 Wien;+43 664 2258822
Kosmetik Christa Fuchs;Hahngasse 34, 1090 Wien;+43 664 4042259
Kosmetik Denise;Brünner Straße 133/ Lokal 7, 1210 Wien;+43 699 10880082
Kosmetikinstitut u Fußpflege Claudia Gulz;Eßlinger Hauptstraße 89/7/4, 1220 Wien;+43 1 7742239
Allure Cosmetics;Billrothstraße 2a, 1190 Wien;+43 1 3671266
Kosmetik Franziska;Markhofgasse 12-18/6/R1, 1030 Wien;+43 664 5365690
Brandstetter - Permanent Make-up Artist e.U.;Neustiftgasse 112, 1070 Wien;+43 660 7663421
Harmonie-Kosmetik Karin Kepreda;Weinberggasse 51, 1190 Wien;+43 1 3697171
Christiane Eder - Kosmetik - Massage;Schwedenplatz 2/15, 1010 Wien;+43 664 3149343
Kosmetik Mona;Sechskrügelgasse 5, 1030 Wien;+43 1 7152847
HAUTnah Medical Spa;Piaristengasse 49, 1080 Wien;+43 664 5257337
Fußpflege & Kosmetik Claudia;Maschlgasse 124, 1220 Wien;+43 1 2808083
Kosmetik für Sie und Ihn - Brigitta Welz;Budaugasse 51, 1220 Wien;+43 664 1746705
Medicare Wien;Schottenring 30, Ecke Franz-Josefs-Kai 59, 1010 Wien;+43 699 19045437
Kosmetik Grinzing;Himmelstraße 11/B, 1190 Wien;+43 699 19240627
Allure Cosmetics 1090;Fuchsthallergasse 9, 1090 Wien;+43 1 3101991
Dermacare - Institut für ästhetische Behandlungen;Morzinplatz 4, 1010 Wien;+43 1 5320334
Beauty Oase - Renata Braun;Attemsgasse 7/D/15, 1220 Wien;+43 664 3011801
MIRELA;Wilhelmstraße 16, 1120 Wien;+43 1 8131598
Beauty and Health Wien, Exxco Cosmetics - Kosmetik-Permanentmake-up Kerstin Häfner;Siebenbürgerstraße 3, 1220 Wien;+43 699 10167187
Esthetic KG;Donaufelder Straße 203, 1220 Wien;+43 699 19525577
Spirit & Style Beauty Salon;Landstraßer Gürtel 21, 1030 Wien;+43 1 2087219
Top Beauty;Speisinger Straße 71, 1130 Wien;+43 1 8047615
La Bonita Beauty Spa;Schelleingasse 2, 1040 Wien;+43 1 5036724
Beautysalon Schauer;Enzingergasse 2/5, 1070 Wien;+43 699 19030965
Cosmetik-Studio 3 GesmbH;Rennweg 23, 1030 Wien;+43 1 7156858
Kosmetik Eva;Reumannplatz 15/1, 1100 Wien;+43 1 6047633
Mawie Beauty Canan Kacar;Schlachthausgasse 39 Ecke Barthgasse 2, 1030 Wien;+43 664 5744461
MP- KOSMETIK;Längenfeldgasse 68/Eingang Karl-Löweg., 1120 Wien;+43 1 8131547
Pulchris am Stefansplatz Beauty & Nails;Goldschmiedgasse 2/3, 1010 Wien;+43 664 73565005
Ziegerhofer Sigrid;Wilhelminenstraße 33, 1160 Wien;+43 1 4844288
Beauty Flair;Stadlauer Straße 62, 1220 Wien;+43 676 7032811
Elisabeta Kosmetik & Fußpflege;Wipplingerstraße 18, 1010 Wien;+43 1 5333590
Style You;Stadlauer Straße 39/5, 1220 Wien;+43 650 5402602
Profimakeup Uschi Bacher;Altgasse 13, 1130 Wien;+43 676 6808706
Renate Kosmetik;Benedikt-Schellinger-Gasse 19, 1150 Wien;+43 1 9858622
ElaPure - Make Up & Hairstyling;Haidingergasse 23/40, 1030 Wien;+43 676 6657058
Beauty Galaxy Outer Limits;Etrichstraße 40/7a, 1110 Wien;+43 1 7672731
Beauty & Spa Inh Devic Sladjana;Maxingstraße 14/1, 1130 Wien;+43 699 11222300
Beautysalon Elisabeth Zimmerl;Nisselgasse 17, 1140 Wien;+43 664 9184189
Biocanin Dragica;Breitenfurter Straße 291-297, 1230 Wien;+43 1 9565596
Carina Denise - Makeup Artist - Visagist;Barichgasse, 1030 Wien;+43 676 9445738
City Wellness medical Alexander Stössl;Lenaugasse 5, 1080 Wien;+43 1 4063761
Haut & Sinne - Institut für Ganzheitskosmetik e.U.;Glockengasse 14a, 1020 Wien;+43 699 18238742
Holde Maid - Naturkosmetik und Wellness, Stefanie Maresch;Mariahilfer Straße 1D/Top 12, 1060 Wien;+43 660 2304052
Ihr dm Kosmetik Studio;Millennium Tower Handelskai 94-96, 1200 Wien;+43 1 2409047-12
IVAYLA'S BEAUTY & STYLE e.U.;Barmherzigengasse 16, 1030 Wien;+43 1 7106193
Miraculum Kosmetikinstitut;Quellenstraße 141, 1100 Wien;+43 1 9411907
Mona Lisa Nagelstudio GmbH;Mariahilfer Straße 112, 1070 Wien;+43 1 5221616
Multilook OG;Erdbergstraße 168/4, 1030 Wien;
Schönheit2go;Wagramer Straße 81 Donauzentrum Top 124, 1220 Wien;+43 664 2408078
Studio Michaela;Alserbachstraße 8, 1090 Wien;+43 1 9449595
TATTOODETOX - Tattooentfernung;Nußdorfer Platz 6/5, 1190 Wien;+43 677 61466090
Top Beauty & More GmbH;Kreilplatz 1, 1190 Wien;+43 664 88185411
Waxing Lounge;Märzstraße 62/Top 1, 1150 Wien;+43 677 62702900
AK Pure-Beauty-Cosmetic-KG;Landstraßer Hauptstraße 146/7a, 1030 Wien;+43 1 7154609
Senzera - Waxing Studio Wien-Mariahilf;Barnabitengasse 10, 1060 Wien;+43 1 5850708
Beauty Lounge Inh. Danijela Bogner;Universitätsstraße 11, 1010 Wien;+43 1 4061111
Kosmetikinstitut Relax;Salierigasse 29, 1180 Wien;+43 1 4701110
Ihr dm Kosmetik Studio;Breitenfurter Straße 261, 1230 Wien;+43 1 6627918-12
La Bella Bianca;Seilerstätte 15/7, 1010 Wien;+43 1 5127136
Kosmetikinstitut Perfect Skin - Inh. Manuela Konarski;Gumpendorfer Straße 138, 1060 Wien;+43 660 5083047
Fachstudio Heirich;Hellgasse 3, 1160 Wien;+43 1 9826173
Ideal Beauty;Bauernmarkt 6/19, 1010 Wien;+43 699 11344554
The BeautyBar;Postgasse 16, 1010 Wien;+43 1 8903754
4 my Luxus;Eßlinger Hauptstraße 24, 1220 Wien;+43 680 3137031
Alpha Ten Beauty e.U.;Rinnböckstraße 24/2, 1110 Wien;
AMACOS - Schönheit und Gesundheit e.U.;Armbrustergasse 6-8/2, 1190 Wien;
Amazonia;Bauernmarkt 18, 1010 Wien;+43 676 9743453
AP Kosmetik;Sonnwendgasse 15/1.Stock/220, 1100 Wien;+43 650 8318394
Aromakosmetik decleor u Klangmassagestudio;Schönbrunner Schloßstraße 28/12, 1120 Wien;+43 699 19204675
art & beauty t13;Servitengasse 16/1, 1090 Wien;+43 1 9972814
Artun Dilek;Laaer-Berg-Straße 39/3/11, 1100 Wien;
Ärzte + Kosmetik Zentrum;Spitalgasse 1a, 1090 Wien;+43 1 4063499
Assfahani Rania;Gersthofer Straße 75-77/13/8, 1180 Wien;
Aureus Kosmetik GmbH;Schottenring 30 Ringturm, 1010 Wien;+43 699 19045437
Avintique e.U.;Nußdorfer Straße 61, 1090 Wien;
BA Elena Reepsdorff;Herklotzgasse 18/15, 1150 Wien;
BA Isabell Natalie Planer;Goldschlagstraße 32/6, 1150 Wien;
Baron Mirela Dipl-Kosmetikerin Harmonische Ganzheitskosmetik f Körper u Geist;Kandlgasse 16/1/9, 1070 Wien;+43 676 9644250
Bauer Sandra;Jerusalemgasse 3/9, Tür 5, 1210 Wien;
Bayana's Beauty Lounge;Schnirchgasse 12, 1030 Wien;+43 650 6354218
Bazsó Viktória;Hietzinger Kai 141/537, 1130 Wien;
BeauTeam Kosmetik OG;Postgasse 1-3/12, 1010 Wien;+43 664 1781919
BEAUTICA Fußpflege & Kosmetik LASTRO KG;Haslingergasse 51/GL3, 1160 Wien;
BeautifulME;Linzer Straße 456/3/Top 10 (Hinterhaus), 1140 Wien;+43 1 9448260
Beauty & Lifestyle, Smile Spa;Wallnerstraße 4, Palais Esterhazy, 1010 Wien;+43 1 5321060
Beauty & SPA Center;Keplerplatz 12/Top 20, 1100 Wien;+43 1 6065558
Beauty Atelier Irene Chowanetz - Dipl Make Up Artist - Farb-u Stilberatung;Hagedornweg 2/1/13, 1220 Wien;+43 699 19225211
Beauty Blossom OG;Märzstraße 94, 1150 Wien;
Beauty Box e.U.;Josefstädter Straße 35, 1080 Wien;+43 699 10063066
Beauty Center Martina;Rotenhofgasse 7, 1100 Wien;+43 1 8908888
Beauty Fun Waltraud Schafler-Zorn;Niederhofstraße 3, 1120 Wien;+43 1 8158342
Beauty Line Cosmetics;Schönbrunner Straße 279, 1120 Wien;+43 1 4102894
Beauty Loft Vienna;Hernalser Hauptstraße 137, 1170 Wien;+43 688 61100818
Beauty Lounge Claudia Wokurek;Maria-Tusch-Straße 6, 1220 Wien;+43 699 11054688
Beauty Organic Cosmetic AND GmbH;Wiedner Hauptstraße 39/1/48, 1040 Wien;
Beauty Permanent Make Up - Wioletta Dabrowski e.U.;Bernhardtstalgasse 21/2/43, 1100 Wien;
Beauty Salon Bella Bianca;Radetzkystraße 4, 1030 Wien;+43 1 9665963
Beauty Studio Bellissima;Lazarettgasse 12, 1090 Wien;+43 1 4090746
BeautyArcade;Schellhammergasse 8, 1160 Wien;+43 1 4089785
beautymoods GmbH;Saarplatz 18/1, 1190 Wien;+43 664 3086012
Beciric Andela;Währinger Gürtel 49/16, 1180 Wien;
Bellapierre Cosmetics;Walfischgasse 6, 1010 Wien;+43 1 9520681
Berbecaru Tetyana;Zollergasse 7/6, 1070 Wien;
Bestwina Balbina Maria;Novaragasse 33/2/1, 1020 Wien;
Bettina Grahsner - Ganzheitskosmetik;Hietzinger Hauptstraße 93/2, 1130 Wien;+43 664 1816137
beyouty OG;Währinger Straße 24/9+10, 1090 Wien;
Bio-Kosmetika & Wein;Kirchberggasse 17, 1070 Wien;+43 1 8902649
Birgit Sutter;Forsthausgasse 16-20, 1200 Wien;+43 1 3746474
Blanka Hillebrand & Maria Galland;Langenzersdorfer Straße 42, 1210 Wien;+43 1 2926563
Böce Esref;Meißnergasse 5/1/6, 1220 Wien;
BodyGO – wax and nail lounge;Andreasgasse 6, 1070 Wien;+43 660 3597484
Böhm Melanie;Spittelauer Lände 15-21/10/2, 1090 Wien;
Braune Christina Make-up & Hair;1100 Wien;+43 676 6628437
Brill Nails 1;Hernalser Hauptstraße 57, 1170 Wien;+43 676 4052723
Brunold Eva Maria;Ottakringer Straße 163/3, 1160 Wien;
Bulbuc Manuela-Miruna;Severin-Schreiber-Gasse 11/1/5, 1180 Wien;
CHA CHA Kosmetik-Nagelstudio-Fußpflege-Figurkorrektur;Meidlinger Hauptstraße 7-9, 1120 Wien;+43 699 10064922
Channoine Kosmetik Gloessner;Eßlinger Hauptstraße 26, 1220 Wien;+43 1 7747444
ChatnoirRocks e.U.;Martinstraße 45/2, 1180 Wien;
Christa Cosmetic-Massage Inh. Sylvia Ackerl;Stadlergasse 2, 1130 Wien;+43 1 8768698
City Lashes e.U.;Skraupstraße 24/23/37, 1210 Wien;
Class Woman Beauty Salon;Brünner Straße 43, 1210 Wien;+43 688 64307032
Contacto;Naglergasse 7/2/8, 1010 Wien;+43 664 9169511
Conte Kosmetik - Mary Zelenka;Quellenstraße 211-213, 1100 Wien;+43 664 1135650
COSAMED - KOSMETIK STERBA;Endresstraße 125, 1230 Wien;+43 1 8862344
COSMETIC BARBARA;Riemergasse 11/6, 1010 Wien;+43 699 14611934
Cosmetic Lounge;Schumanngasse 52, 1180 Wien;+43 699 10636155
Cosmetic-Institut Eva Brode im Gesundheitszentrum Mauer;Geßlgasse 19/2/Top 7, 1230 Wien;+43 1 7156565
Cosmetics;Lerchenfelder Straße 85, 1070 Wien;+43 1 5266112
craft up Sabine Reiter;Stolzenthalergasse 1/10, 1080 Wien;+43 660 7375553
CWPM Claudia Wixinger Permanent Makeup;Plankenmaisstraße 43, 1220 Wien;+43 664 1326040
